"wykaz","pozycja na liście","Tytuł","ISSN","Liczba punktów"
"A","6757","JOURNAL OF PRODUCT INNOVATION MANAGEMENT","0737-6782","40"
"A","6758","JOURNAL OF PRODUCTIVITY ANALYSIS","0895-562X","25"
"A","6759","JOURNAL OF PROFESSIONAL ISSUES IN ENGINEERING EDUCATION AND PRACTICE","1052-3928","20"
"A","6760","JOURNAL OF PROFESSIONAL NURSING","8755-7223","25"
"A","6761","JOURNAL OF PROPULSION AND POWER","0748-4658","30"
"A","6762","JOURNAL OF PROSTHETIC DENTISTRY","0022-3913","30"
"A","6763","Journal of Prosthodontics-Implant Esthetic and Reconstructive Dentistry","1059-941X","15"
"A","6764","JOURNAL OF PROTEOME RESEARCH","1535-3893","40"
"A","6765","Journal of Proteomics","1874-3919","35"
"A","6766","Journal of Psychiatric and Mental Health Nursing","1351-0126","25"
"A","6767","Journal of Psychiatric Practice","1527-4160","20"
"A","6768","JOURNAL OF PSYCHIATRY & NEUROSCIENCE","1180-4882","45"
"A","6769","JOURNAL OF PSYCHOHISTORY","0145-3378","15"
"A","6770","Journal of Psychology in Africa","1433-0237","15"
"A","6771","JOURNAL OF PSYCHOSOCIAL NURSING AND MENTAL HEALTH SERVICES","0279-3695","20"
"A","6772","JOURNAL OF PSYCHOSOCIAL ONCOLOGY","0734-7332","20"
"A","6773","JOURNAL OF PUBLIC ADMINISTRATION RESEARCH AND THEORY","1053-1858","50"
"A","6774","Journal of Public Economic Theory","1097-3923","20"
"A","6775","JOURNAL OF PUBLIC ECONOMICS","0047-2727","35"
"A","6776","JOURNAL OF PUBLIC HEALTH","1741-3842","30"
"A","6777","JOURNAL OF PUBLIC HEALTH DENTISTRY","0022-4006","25"
"A","6778","JOURNAL OF PUBLIC HEALTH MANAGEMENT AND PRACTICE","1078-4659","25"
"A","6779","JOURNAL OF PUBLIC HEALTH POLICY","0197-5897","25"
"A","6780","Journal of Public Policy","0143-814X","30"
"A","6781","JOURNAL OF PUBLIC POLICY & MARKETING","0743-9156","25"
"A","6782","Journal of Public Relations Research","1062-726X","25"
"A","6783","JOURNAL OF PULP AND PAPER SCIENCE","0826-6220","20"
"A","6784","Journal of Purchasing and Supply Management","1478-4092","25"
"A","6785","JOURNAL OF PURE AND APPLIED ALGEBRA","0022-4049","25"
"A","6786","Journal of Pure and Applied Microbiology","0973-7510","15"
"A","6787","JOURNAL OF QUALITY TECHNOLOGY","0022-4065","30"
"A","6788","JOURNAL OF QUANTITATIVE CRIMINOLOGY","0748-4518","40"
"A","6789","JOURNAL OF QUANTITATIVE SPECTROSCOPY & RADIATIVE TRANSFER","0022-4073","30"
"A","6790","JOURNAL OF RADIATION RESEARCH","0449-3060","25"
"A","6791","JOURNAL OF RADIOANALYTICAL AND NUCLEAR CHEMISTRY","0236-5731","25"
"A","6792","JOURNAL OF RADIOLOGICAL PROTECTION","0952-4746","25"
"A","6793","JOURNAL OF RAMAN SPECTROSCOPY","0377-0486","30"
"A","6794","JOURNAL OF RAPTOR RESEARCH","0892-1016","20"
"A","6795","JOURNAL OF RARE EARTHS","1002-0721","20"
"A","6796","JOURNAL OF REAL ESTATE FINANCE AND ECONOMICS","0895-5638","25"
"A","6797","Journal of Real Estate Research","0896-5803","25"
"A","6798","Journal of Real-Time Image Processing","1861-8200","25"
"A","6799","JOURNAL OF RECEPTORS AND SIGNAL TRANSDUCTION","1079-9893","15"
"A","6800","JOURNAL OF RECONSTRUCTIVE MICROSURGERY","0743-684X","20"
"A","6801","JOURNAL OF REFRACTIVE SURGERY","1081-597X","35"
"A","6802","Journal of Refugee Studies","0951-6328","20"
"A","6803","JOURNAL OF REGIONAL SCIENCE","0022-4146","35"
"A","6804","JOURNAL OF REGULATORY ECONOMICS","0922-680X","25"
"A","6805","JOURNAL OF REHABILITATION","0022-4154","15"
"A","6806","JOURNAL OF REHABILITATION MEDICINE","1650-1977","35"
"A","6807","JOURNAL OF REINFORCED PLASTICS AND COMPOSITES","0731-6844","25"
"A","6808","JOURNAL OF RENAL NUTRITION","1051-2276","25"
"A","6809","Journal of Renewable and Sustainable Energy","1941-7012","25"
"A","6810","JOURNAL OF REPRODUCTION AND DEVELOPMENT","0916-8818","25"
"A","6811","JOURNAL OF REPRODUCTIVE IMMUNOLOGY","0165-0378","25"
"A","6812","JOURNAL OF REPRODUCTIVE MEDICINE","0024-7758","15"
"A","6813","JOURNAL OF RESEARCH AND PRACTICE IN INFORMATION TECHNOLOGY","1443-458X","15"
"A","6814","JOURNAL OF RESEARCH IN CRIME AND DELINQUENCY","0022-4278","45"
"A","6815","Journal of Research in Medical Sciences","1735-1995","20"
"A","6816","JOURNAL OF RESEARCH OF THE NATIONAL INSTITUTE OF STANDARDS AND TECHNOLOGY","1044-677X","20"
"A","6817","Journal of Residuals Science & Technology","1544-8053","15"
"A","6818","JOURNAL OF RETAILING","0022-4359","35"
"A","6819","JOURNAL OF RHEOLOGY","0148-6055","45"
"A","6820","JOURNAL OF RHEUMATOLOGY","0315-162X","30"
"A","6821","Journal of Risk","1465-1211","15"
"A","6822","JOURNAL OF RISK AND INSURANCE","0022-4367","30"
"A","6823","JOURNAL OF RISK AND UNCERTAINTY","0895-5646","35"
"A","6824","Journal of Risk Model Validation","1753-9579","15"
"A","6825","Journal of Rubber Research","1511-1768","15"
"A","6826","JOURNAL OF RURAL HEALTH","0890-765X","25"
"A","6827","JOURNAL OF RURAL STUDIES","0743-0167","40"
"A","6828","JOURNAL OF RUSSIAN LASER RESEARCH","1071-2836","15"
"A","6829","JOURNAL OF SAFETY RESEARCH","0022-4375","30"
"A","6830","JOURNAL OF SANDWICH STRUCTURES & MATERIALS","1099-6362","25"
"A","6831","Journal of Saudi Chemical Society","1319-6103","25"
"A","6832","JOURNAL OF SCHEDULING","1094-6136","30"
"A","6833","JOURNAL OF SCHOLARLY PUBLISHING","1198-9742","15"
"A","6834","Journal of School Nursing","1059-8405","15"
"A","6835","JOURNAL OF SCIENCE AND MEDICINE IN SPORT","1440-2440","40"
"A","6836","JOURNAL OF SCIENTIFIC & INDUSTRIAL RESEARCH","0022-4456","25"
"A","6837","JOURNAL OF SCIENTIFIC COMPUTING","0885-7474","40"
"A","6838","JOURNAL OF SEA RESEARCH","1385-1101","30"
"A","6839","JOURNAL OF SEDIMENTARY RESEARCH","1527-1404","40"
"A","6840","JOURNAL OF SEISMIC EXPLORATION","0963-0651","15"
"A","6841","JOURNAL OF SEISMOLOGY","1383-4649","20"
"A","6842","Journal of Semiconductor Technology and Science","1598-1657","20"
"A","6843","JOURNAL OF SENSORY STUDIES","0887-8250","25"
"A","6844","JOURNAL OF SEPARATION SCIENCE","1615-9306","30"
"A","6845","JOURNAL OF SERVICE RESEARCH","1094-6705","40"
"A","6846","Journal of Services Marketing","0887-6045","20"
"A","6847","Journal of Sexual Aggression","1355-2600","20"
"A","6848","Journal of Sexual Medicine","1743-6095","35"
"A","6849","JOURNAL OF SHELLFISH RESEARCH","0730-8000","20"
"A","6850","JOURNAL OF SHIP RESEARCH","0022-4502","25"
"A","6851","JOURNAL OF SHOULDER AND ELBOW SURGERY","1058-2746","35"
"A","6852","Journal of Signal Processing Systems for Signal Image and Video Technology","1939-8018","20"
"A","6853","JOURNAL OF SMALL ANIMAL PRACTICE","0022-4510","25"
"A","6854","JOURNAL OF SMALL BUSINESS MANAGEMENT","0047-2778","30"
"A","6855","JOURNAL OF SOCIAL POLICY","0047-2794","25"
"A","6856","JOURNAL OF SOCIAL SERVICE RESEARCH","0148-8376","15"
"A","6857","Journal of Social Work","1468-0173","30"
"A","6858","JOURNAL OF SOCIAL WORK PRACTICE","0265-0533","20"
"A","6859","JOURNAL OF SOCIOLOGY","1440-7833","25"
"A","6860","JOURNAL OF SOFTWARE MAINTENANCE AND EVOLUTION-RESEARCH AND PRACTICE","1532-060X","30"
"A","6861","JOURNAL OF SOIL AND WATER CONSERVATION","0022-4561","25"
"A","6862","Journal of Soil Science and Plant Nutrition","0718-9516","15"
"A","6863","JOURNAL OF SOILS AND SEDIMENTS","1439-0108","30"
"A","6864","JOURNAL OF SOLAR ENERGY ENGINEERING-TRANSACTIONS OF THE ASME","0199-6231","25"
"A","6865","JOURNAL OF SOL-GEL SCIENCE AND TECHNOLOGY","0928-0707","40"
"A","6866","JOURNAL OF SOLID STATE CHEMISTRY","0022-4596","30"
"A","6867","JOURNAL OF SOLID STATE ELECTROCHEMISTRY","1432-8488","25"
"A","6868","JOURNAL OF SOLUTION CHEMISTRY","0095-9782","20"
"A","6869","JOURNAL OF SOUND AND VIBRATION","0022-460X","35"
"A","6870","JOURNAL OF SOUTH AMERICAN EARTH SCIENCES","0895-9811","25"
"A","6871","Journal of South Asian Development","0973-1741","15"
"A","6872","JOURNAL OF SPACECRAFT AND ROCKETS","0022-4650","30"
"A","6873","Journal of Spacecraft Technology","0971-1600","15"
"A","6874","Journal of Spanish Cultural Studies","1463-6204","25"
"A","6875","Journal of Spatial Science","1449-8596","15"
"A","6876","JOURNAL OF SPINAL CORD MEDICINE","1079-0268","20"
"A","6877","JOURNAL OF SPINAL DISORDERS & TECHNIQUES","1536-0652","25"
"A","6878","JOURNAL OF SPORT & SOCIAL ISSUES","0193-7235","25"
"A","6879","JOURNAL OF SPORT MANAGEMENT","0888-4773","20"
"A","6880","JOURNAL OF SPORT REHABILITATION","1056-6716","25"
"A","6881","Journal of Sports Economics","1527-0025","25"
"A","6882","JOURNAL OF SPORTS MEDICINE AND PHYSICAL FITNESS","0022-4707","20"
"A","6883","Journal of Sports Science and Medicine","1303-2968","20"
"A","6884","JOURNAL OF SPORTS SCIENCES","0264-0414","35"
"A","6885","JOURNAL OF STATISTICAL COMPUTATION AND SIMULATION","0094-9655","15"
"A","6886","JOURNAL OF STATISTICAL MECHANICS-THEORY AND EXPERIMENT","1742-5468","35"
"A","6887","JOURNAL OF STATISTICAL PHYSICS","0022-4715","25"
"A","6888","JOURNAL OF STATISTICAL PLANNING AND INFERENCE","0378-3758","20"
"A","6889","Journal of Statistical Software","1548-7660","50"
"A","6890","JOURNAL OF STEROID BIOCHEMISTRY AND MOLECULAR BIOLOGY","0960-0760","25"
"A","6891","JOURNAL OF STORED PRODUCTS RESEARCH","0022-474X","35"
"A","6892","JOURNAL OF STRAIN ANALYSIS FOR ENGINEERING DESIGN","0309-3247","25"
"A","6893","JOURNAL OF STRATEGIC INFORMATION SYSTEMS","0963-8687","40"
"A","6894","JOURNAL OF STRENGTH AND CONDITIONING RESEARCH","1064-8011","30"
"A","6895","Journal of Stroke & Cerebrovascular Diseases","1052-3057","20"
"A","6896","JOURNAL OF STRUCTURAL BIOLOGY","1047-8477","30"
"A","6897","JOURNAL OF STRUCTURAL CHEMISTRY","0022-4766","15"
"A","6898","JOURNAL OF STRUCTURAL ENGINEERING-ASCE","0733-9445","35"
"A","6899","JOURNAL OF STRUCTURAL GEOLOGY","0191-8141","30"
"A","6900","Journal of Studies on Alcohol and Drugs","1937-1888","30"
"A","6901","Journal of Substance Use","1465-9891","15"
"A","6902","Journal of Sulfur Chemistry","1741-5993","20"
"A","6903","JOURNAL OF SUPERCOMPUTING","0920-8542","20"
"A","6904","Journal of Superconductivity and Novel Magnetism","1557-1939","15"
"A","6905","JOURNAL OF SUPERCRITICAL FLUIDS","0896-8446","35"
"A","6906","Journal of Superhard Materials","1063-4576","20"
"A","6907","Journal of Supply Chain Management","1523-2409","35"
"A","6908","Journal of Surface Investigation-X-Ray Synchrotron and Neutron Techniques","1027-4510","15"
"A","6909","JOURNAL OF SURFACTANTS AND DETERGENTS","1097-3958","25"
"A","6910","Journal of Surgical Education","1931-7204","30"
"A","6911","JOURNAL OF SURGICAL ONCOLOGY","0022-4790","30"
"A","6912","JOURNAL OF SURGICAL RESEARCH","0022-4804","30"
"A","6913","JOURNAL OF SURVEYING ENGINEERING-ASCE","0733-9453","25"
"A","6914","JOURNAL OF SUSTAINABLE AGRICULTURE","1044-0046","25"
"A","6915","Journal of Sustainable Tourism","0966-9582","40"
"A","6916","JOURNAL OF SWINE HEALTH AND PRODUCTION","1537-209X","25"
"A","6917","JOURNAL OF SYMBOLIC COMPUTATION","0747-7171","20"
"A","6918","Journal of Symplectic Geometry","1527-5256","40"
"A","6919","JOURNAL OF SYNCHROTRON RADIATION","0909-0495","35"
"A","6920","JOURNAL OF SYNTHETIC ORGANIC CHEMISTRY JAPAN","0037-9980","15"
"A","6921","JOURNAL OF SYSTEMATIC PALAEONTOLOGY","1477-2019","30"
"A","6922","Journal of Systematics and Evolution","1674-4918","25"
"A","6923","JOURNAL OF SYSTEMS AND SOFTWARE","0164-1212","30"
"A","6924","JOURNAL OF SYSTEMS ARCHITECTURE","1383-7621","20"
"A","6925","Journal of Systems Engineering and Electronics","1004-4132","15"
"A","6926","Journal of Systems Science & Complexity","1009-6124","15"
"A","6927","Journal of Systems Science and Systems Engineering","1004-3756","20"
"A","6928","JOURNAL OF TECHNOLOGY TRANSFER","0892-9912","25"
"A","6929","JOURNAL OF TELEMEDICINE AND TELECARE","1357-633X","20"
"A","6930","JOURNAL OF TERRAMECHANICS","0022-4898","15"
"A","6931","JOURNAL OF TESTING AND EVALUATION","0090-3973","20"
"A","6932","JOURNAL OF TEXTURE STUDIES","0022-4901","25"
"A","6933","JOURNAL OF THE ACADEMY OF MARKETING SCIENCE","0092-0703","40"
"A","6934","JOURNAL OF THE ACM","0004-5411","45"
"A","6935","JOURNAL OF THE AIR & WASTE MANAGEMENT ASSOCIATION","1096-2247","20"
"A","6936","Journal of the American Academy of Audiology","1050-0545","30"
"A","6937","JOURNAL OF THE AMERICAN ACADEMY OF DERMATOLOGY","0190-9622","45"
"A","6938","Journal of the American Academy of Nurse Practitioners","1041-2972","20"
"A","6939","JOURNAL OF THE AMERICAN ACADEMY OF ORTHOPAEDIC SURGEONS","1067-151X","35"
"A","6940","JOURNAL OF THE AMERICAN ACADEMY OF PSYCHIATRY AND THE LAW","1093-6793","25"
"A","6941","JOURNAL OF THE AMERICAN ANIMAL HOSPITAL ASSOCIATION","0587-2871","25"
"A","6942","Journal of the American Association for Laboratory Animal Science","1559-6109","25"
"A","6943","Journal of the American Board of Family Medicine","1557-2625","35"
"A","6944","JOURNAL OF THE AMERICAN CERAMIC SOCIETY","0002-7820","45"
"A","6945","JOURNAL OF THE AMERICAN CHEMICAL SOCIETY","0002-7863","40"
"A","6946","JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY","0735-1097","50"
"A","6947","JOURNAL OF THE AMERICAN COLLEGE OF NUTRITION","0731-5724","30"
"A","6948","Journal of the American College of Radiology","1546-1440","25"
"A","6949","JOURNAL OF THE AMERICAN COLLEGE OF SURGEONS","1072-7515","45"
"A","6950","JOURNAL OF THE AMERICAN DENTAL ASSOCIATION","0002-8177","35"
"A","6951","JOURNAL OF THE AMERICAN DIETETIC ASSOCIATION","0002-8223","35"
"A","6952","JOURNAL OF THE AMERICAN GERIATRICS SOCIETY","0002-8614","45"
"A","6953","JOURNAL OF THE AMERICAN HELICOPTER SOCIETY","0002-8711","20"
"A","6954","JOURNAL OF THE AMERICAN LEATHER CHEMISTS ASSOCIATION","0002-9726","20"
"A","6955","JOURNAL OF THE AMERICAN MATHEMATICAL SOCIETY","0894-0347","50"
"A","6956","Journal of the American Medical Directors Association","1525-8610","35"
"A","6957","JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION","1067-5027","45"
"A","6958","JOURNAL OF THE AMERICAN MOSQUITO CONTROL ASSOCIATION","8756-971X","25"
"A","6959","JOURNAL OF THE AMERICAN OIL CHEMISTS SOCIETY","0003-021X","30"
"A","6960","JOURNAL OF THE AMERICAN PHARMACISTS ASSOCIATION","1544-3191","20"
"A","6961","JOURNAL OF THE AMERICAN PLANNING ASSOCIATION","0194-4363","35"
"A","6962","JOURNAL OF THE AMERICAN PODIATRIC MEDICAL ASSOCIATION","8750-7315","20"
"A","6963","JOURNAL OF THE AMERICAN POMOLOGICAL SOCIETY","1527-3741","20"
"A","6964","JOURNAL OF THE AMERICAN SOCIETY FOR HORTICULTURAL SCIENCE","0003-1062","30"
"A","6965","JOURNAL OF THE AMERICAN SOCIETY FOR INFORMATION SCIENCE AND TECHNOLOGY","1532-2882","35"
"A","6966","JOURNAL OF THE AMERICAN SOCIETY FOR MASS SPECTROMETRY","1044-0305","35"
"A","6967","JOURNAL OF THE AMERICAN SOCIETY OF BREWING CHEMISTS","0361-0470","20"
"A","6968","JOURNAL OF THE AMERICAN SOCIETY OF ECHOCARDIOGRAPHY","0894-7317","35"
"A","6969","Journal of the American Society of Hypertension","1933-1711","25"
"A","6970","JOURNAL OF THE AMERICAN SOCIETY OF NEPHROLOGY","1046-6673","50"
"A","6971","JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION","0162-1459","40"
"A","6972","JOURNAL OF THE AMERICAN WATER RESOURCES ASSOCIATION","1093-474X","30"
"A","6973","Journal of the Anatomical Society of India","0003-2778","15"
"A","6974","Journal of the Asia Pacific Economy","1354-7860","15"
"A","6975","Journal of the Association for Information Systems","1536-9323","40"
"A","6976","JOURNAL OF THE ASTRONAUTICAL SCIENCES","0021-9142","25"
"A","6977","JOURNAL OF THE ATMOSPHERIC SCIENCES","0022-4928","30"
"A","6978","JOURNAL OF THE AUDIO ENGINEERING SOCIETY","1549-4950","25"
"A","6979","Journal of the Australian Ceramic Society","0004-881X","15"
"A","6980","JOURNAL OF THE AUSTRALIAN MATHEMATICAL SOCIETY","1446-7887","20"
"A","6981","Journal of the Australian Traditional-Medicine Society","1326-3390","15"
"A","6982","Journal of the Balkan Tribological Association","1310-4772","15"
"A","6983","JOURNAL OF THE BRAZILIAN CHEMICAL SOCIETY","0103-5053","25"
"A","6984","Journal of the Brazilian Society of Mechanical Sciences and Engineering","1678-5878","15"
"A","6985","JOURNAL OF THE CANADIAN DENTAL ASSOCIATION","1488-2159","20"
"A","6986","JOURNAL OF THE CERAMIC SOCIETY OF JAPAN","1882-0743","30"
"A","6987","JOURNAL OF THE CHILEAN CHEMICAL SOCIETY","0717-9707","20"
"A","6988","JOURNAL OF THE CHINESE CHEMICAL SOCIETY","0009-4536","20"
"A","6989","JOURNAL OF THE CHINESE INSTITUTE OF ENGINEERS","0253-3839","15"
"A","6990","Journal of the Chinese Medical Association","1726-4901","20"
"A","6991","Journal of the Chinese Society of Mechanical Engineers","0257-9731","15"
"A","6992","JOURNAL OF THE COPYRIGHT SOCIETY OF THE USA","0886-3520","15"
"A","6993","JOURNAL OF THE ELECTROCHEMICAL SOCIETY","0013-4651","40"
"A","6994","JOURNAL OF THE ENERGY INSTITUTE","1743-9671","15"
"A","6995","JOURNAL OF THE ENTOMOLOGICAL RESEARCH SOCIETY","1302-0250","15"
"A","6996","JOURNAL OF THE EUROPEAN ACADEMY OF DERMATOLOGY AND VENEREOLOGY","0926-9959","35"
"A","6997","JOURNAL OF THE EUROPEAN CERAMIC SOCIETY","0955-2219","50"
"A","6998","Journal of the European Economic Association","1542-4766","40"
"A","6999","JOURNAL OF THE EUROPEAN MATHEMATICAL SOCIETY","1435-9855","45"
"A","7000","Journal of the European Optical Society-Rapid Publications","1990-2573","25"
"A","7001","JOURNAL OF THE FACULTY OF AGRICULTURE KYUSHU UNIVERSITY","0023-6152","15"
"A","7002","Journal of the Faculty of Engineering and Architecture of Gazi University","1300-1884","15"
"A","7003","JOURNAL OF THE FORMOSAN MEDICAL ASSOCIATION","0929-6646","25"
"A","7004","JOURNAL OF THE FRANKLIN INSTITUTE-ENGINEERING AND APPLIED MATHEMATICS","0016-0032","40"
"A","7005","JOURNAL OF THE GEOLOGICAL SOCIETY","0016-7649","40"
"A","7006","JOURNAL OF THE GEOLOGICAL SOCIETY OF INDIA","0016-7622","15"
"A","7007","Journal of the Hellenic Veterinary Medical Society","1792-2720","15"
"A","7008","Journal of the History of Economic Thought","1053-8372","15"
"A","7009","Journal of the History of the Neurosciences","0964-704X","20"
"A","7010","JOURNAL OF THE INDIAN CHEMICAL SOCIETY","0019-4522","15"
"A","7011","Journal of the Indian Society of Remote Sensing","0255-660X","15"
"A","7012","JOURNAL OF THE INSTITUTE OF BREWING","0046-9750","25"
"A","7013","Journal of the Institute of Mathematics of Jussieu","1474-7480","35"
"A","7014","Journal of the Institute of Telecommunications Professionals","1755-9278","15"
"A","7015","Journal of the International AIDS Society","1758-2652","35"
"A","7016","Journal of the International Society of Sports Nutrition","1550-2783","25"
"A","7017","Journal of the Iranian Chemical Society","1735-207X","25"
"A","7018","JOURNAL OF THE JAPAN INSTITUTE OF METALS","0021-4876","15"
"A","7019","JOURNAL OF THE JAPAN PETROLEUM INSTITUTE","1346-8804","25"
"A","7020","JOURNAL OF THE JAPANESE AND INTERNATIONAL ECONOMIES","0889-1583","25"
"A","7021","JOURNAL OF THE JAPANESE SOCIETY FOR FOOD SCIENCE AND TECHNOLOGY-NIPPON SHOKUHIN KAGAKU KOGAKU KAISHI","1341-027X","15"
"A","7022","JOURNAL OF THE JAPANESE SOCIETY FOR HORTICULTURAL SCIENCE","1882-3351","25"
"A","7023","JOURNAL OF THE KANSAS ENTOMOLOGICAL SOCIETY","0022-8567","20"
"A","7024","Journal of the Korean Astronomical Society","1225-4614","15"
"A","7025","JOURNAL OF THE KOREAN MATHEMATICAL SOCIETY","0304-9914","15"
"A","7026","Journal of the Korean Medical Association","1975-8456","15"
"A","7027","JOURNAL OF THE KOREAN PHYSICAL SOCIETY","0374-4884","15"
"A","7028","Journal of the Korean Society for Applied Biological Chemistry","1738-2203","15"
"A","7029","Journal of the Korean Statistical Society","1226-3192","15"
"A","7030","Journal of the Korean Surgical Society","2233-7903","15"
"A","7031","JOURNAL OF THE LEPIDOPTERISTS SOCIETY","0024-0966","15"
"A","7032","JOURNAL OF THE LONDON MATHEMATICAL SOCIETY-SECOND SERIES","0024-6107","35"
"A","7033","JOURNAL OF THE MARINE BIOLOGICAL ASSOCIATION OF THE UNITED KINGDOM","0025-3154","20"
"A","7034","JOURNAL OF THE MATHEMATICAL SOCIETY OF JAPAN","0025-5645","20"
"A","7035","Journal of the Mechanical Behavior of Biomedical Materials","1751-6161","35"
"A","7036","JOURNAL OF THE MECHANICS AND PHYSICS OF SOLIDS","0022-5096","40"
"A","7037","JOURNAL OF THE MEDICAL LIBRARY ASSOCIATION","1536-5050","25"
"A","7038","JOURNAL OF THE METEOROLOGICAL SOCIETY OF JAPAN","0026-1165","25"
"A","7039","Journal of the Mexican Chemical Society","1870-249X","15"
"A","7040","Journal of the National Comprehensive Cancer Network","1540-1405","35"
"A","7041","JOURNAL OF THE NATIONAL MEDICAL ASSOCIATION","0027-9684","25"
"A","7042","JOURNAL OF THE NATIONAL SCIENCE FOUNDATION OF SRI LANKA","1391-4588","15"
"A","7043","JOURNAL OF THE NEUROLOGICAL SCIENCES","0022-510X","25"
"A","7044","JOURNAL OF THE NORTH AMERICAN BENTHOLOGICAL SOCIETY","0887-3593","35"
"A","7045","JOURNAL OF THE OPERATIONAL RESEARCH SOCIETY","0160-5682","25"
"A","7046","JOURNAL OF THE OPTICAL SOCIETY OF AMERICA A-OPTICS IMAGE SCIENCE AND VISION","1084-7529","30"
"A","7047","JOURNAL OF THE OPTICAL SOCIETY OF AMERICA B-OPTICAL PHYSICS","0740-3224","35"
"A","7048","Journal of the Optical Society of Korea","1226-4776","20"
"A","7049","JOURNAL OF THE PAKISTAN MEDICAL ASSOCIATION","0030-9982","15"
"A","7050","JOURNAL OF THE PERIPHERAL NERVOUS SYSTEM","1085-9489","30"
"A","7051","JOURNAL OF THE PHILOSOPHY OF SPORT","0094-8705","15"
"A","7052","JOURNAL OF THE PHYSICAL SOCIETY OF JAPAN","0031-9015","35"
"A","7053","JOURNAL OF THE RENIN-ANGIOTENSIN-ALDOSTERONE SYSTEM","1470-3203","25"
"A","7054","Journal of the Royal Society Interface","1742-5689","40"
"A","7055","JOURNAL OF THE ROYAL SOCIETY OF MEDICINE","0141-0768","25"
"A","7056","JOURNAL OF THE ROYAL SOCIETY OF NEW ZEALAND","0303-6758","35"
"A","7057","JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","0964-1998","40"
"A","7058","JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY","1369-7412","50"
"A","7059","JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","0035-9254","30"
"A","7060","JOURNAL OF THE SCIENCE OF FOOD AND AGRICULTURE","0022-5142","30"
"A","7061","JOURNAL OF THE SERBIAN CHEMICAL SOCIETY","0352-5139","20"
"A","7062","Journal of the Society for Information Display","1071-0922","20"
"A","7063","JOURNAL OF THE SOCIETY OF LEATHER TECHNOLOGISTS AND CHEMISTS","0144-0322","20"
"A","7064","Journal of the South African Institution of Civil Engineering","1021-2019","15"
"A","7065","JOURNAL OF THE SOUTH AFRICAN VETERINARY ASSOCIATION-TYDSKRIF VAN DIE SUID-AFRIKAANSE VETERINERE VERENIGING","0038-2809","20"
"A","7066","Journal of the Southern African Institute of Mining and Metallurgy","2225-6253","15"
"A","7067","Journal of the Taiwan Institute of Chemical Engineers","1876-1070","30"
"A","7068","JOURNAL OF THE TEXTILE INSTITUTE","0040-5000","25"
"A","7069","JOURNAL OF THE TORREY BOTANICAL SOCIETY","1095-5674","20"
"A","7070","JOURNAL OF THE WORLD AQUACULTURE SOCIETY","0893-8849","20"
"A","7071","JOURNAL OF THEORETICAL & COMPUTATIONAL CHEMISTRY","0219-6336","20"
"A","7072","Journal of Theoretical and Applied Mechanics","1429-2955","15"
"A","7073","JOURNAL OF THEORETICAL BIOLOGY","0022-5193","35"
"A","7074","JOURNAL OF THEORETICAL POLITICS","0951-6298","25"
"A","7075","JOURNAL OF THEORETICAL PROBABILITY","0894-9840","15"
"A","7076","JOURNAL OF THERMAL ANALYSIS AND CALORIMETRY","1388-6150","20"
"A","7077","JOURNAL OF THERMAL BIOLOGY","0306-4565","30"
"A","7078","Journal of Thermal Science","1003-2169","15"
"A","7079","Journal of Thermal Science and Technology","1880-5566","15"
"A","7080","JOURNAL OF THERMAL SPRAY TECHNOLOGY","1059-9630","30"
"A","7081","JOURNAL OF THERMAL STRESSES","0149-5739","20"
"A","7082","JOURNAL OF THERMOPHYSICS AND HEAT TRANSFER","0887-8722","25"
"A","7083","JOURNAL OF THERMOPLASTIC COMPOSITE MATERIALS","0892-7057","30"
"A","7084","JOURNAL OF THORACIC AND CARDIOVASCULAR SURGERY","0022-5223","35"
"A","7085","JOURNAL OF THORACIC IMAGING","0883-5993","20"
"A","7086","Journal of Thoracic Oncology","1556-0864","40"
"A","7087","JOURNAL OF THROMBOSIS AND HAEMOSTASIS","1538-7933","40"
"A","7088","JOURNAL OF THROMBOSIS AND THROMBOLYSIS","0929-5305","20"
"A","7089","JOURNAL OF TIME SERIES ANALYSIS","0143-9782","25"
"A","7090","Journal of Tissue Engineering and Regenerative Medicine","1932-6254","30"
"A","7091","Journal of Tissue Viability","0965-206X","25"
"A","7092","Journal of Topology","1753-8416","35"
"A","7093","Journal of Topology and Analysis","1793-5253","25"
"A","7094","Journal of Tourism and Cultural Change","1476-6825","15"
"A","7095","Journal of Toxicologic Pathology","0914-9198","15"
"A","7096","JOURNAL OF TOXICOLOGICAL SCIENCES","0388-1350","15"
"A","7097","JOURNAL OF TOXICOLOGY AND ENVIRONMENTAL HEALTH-PART A-CURRENT ISSUES","1528-7394","25"
"A","7098","JOURNAL OF TOXICOLOGY AND ENVIRONMENTAL HEALTH-PART B-CRITICAL REVIEWS","1093-7404","40"
"A","7099","JOURNAL OF TRACE ELEMENTS IN MEDICINE AND BIOLOGY","0946-672X","20"
"A","7100","Journal of Traditional Chinese Medicine","0255-2922","15"
